id,Exp:Droso,Exp:GNSO,Exp:pH,locus tag,strand
P39007,-0.608028478846,-0.268108382732,-0.439035228981,CAGL0A00209g,+
P07264,1.37404218991,-0.449752855643,-0.850469280466,CAGL0A00363g,-
P05030,-1.72364520335,0.725461965306,-0.519213055532,CAGL0A00495g,-
P53196,-1.04343983114,0.452250841304,-1.0189702412,CAGL0A00561g,-
P53198,-1.45072328963,2.0777201225,0.480766687161,CAGL0A00627g,+
Q06164,1.3359407787,2.6895078351,0.682870091344,CAGL0A00913g,-
P53769,1.336878279,2.71149417466,0.691276180666,CAGL0A00935g,-
Q06170,1.83048076656,0.777384914385,0.567170487573,CAGL0A01001g,+
P08417,1.33964449413,-3.87153086606,-0.747817907632,CAGL0A01045g,-
Q08979,-1.71424447379,1.8022372505,0.580131553336,CAGL0A01067g,+
Q08984,-1.92664420503,-1.43750554798,-2.33127640224,CAGL0A01089g,-
D3W7A4,5.13311039467,-1.01569150148,4.00799760767,CAGL0A01221g,-
D3W7A4,-1.12098521144,-1.40834246176,0.982043385266,CAGL0A01221g,+
P25346,5.15476064462,-1.0145458737,4.01040123802,CAGL0A01243g,-
P25346,-1.1396177453,-1.38774958646,1.01076184981,CAGL0A01243g,+
P53189,-0.713125816422,-1.54119932496,-3.79895113663,CAGL0A01474g,+
P24000,1.85484918715,1.37539524356,1.08219790048,CAGL0A01562g,-
P48235,3.31434133468,-1.34508579499,1.43540955647,CAGL0A01650g,+
P32467,-3.23318316359,3.15134615992,-0.633454610591,CAGL0A01782g,-
P32465,1.25025307724,2.10713391755,-1.51906998761,CAGL0A01804g,+
P25577,-0.860237464487,-1.56935994423,-1.68159188836,CAGL0A02255g,+
P25577,-0.901157594546,-2.05358409763,-3.30034673812,CAGL0A02277g,+
P32466,2.36022694751,2.1712479916,0.620984921249,CAGL0A02321g,-
P32466,1.70580962941,-2.89587808553,-1.12342875548,CAGL0A02321g,+
P38817,-0.880356112683,-1.28070450665,-0.757460986412,CAGL0A02629g,+
P14065,-2.38540574788,-1.04294425683,-0.992126858739,CAGL0A02816g,+
P33301,1.21181849745,-0.970066111847,-0.697323053125,CAGL0A02838g,-
Q06349,-1.7339164995,-1.05532276098,-1.09427858182,CAGL0A02860g,+
Q06408,4.08229945255,-5.93879805931,-2.2182109969,CAGL0A03102g,+
Q12359,0.83126854336,3.85896133042,1.56904334211,CAGL0A03212g,-
P53983,-0.787626347586,-1.75908902563,-1.20892017886,CAGL0A03344g,+
Q01519,2.38376044854,-2.75196582415,1.42332588559,CAGL0A03542g,-
P13711,8.3845449783,-5.33982581872,-1.30401898247,CAGL0A03740g,+
Q05785,1.23159409942,-2.66327747621,-0.996386791748,CAGL0A03872g,-
Q05779,-0.558637957352,-0.957507183841,-0.467565608722,CAGL0A03949g,+
P21304,-0.825580027564,2.4333527996,0.570142450742,CAGL0A04037g,-
Q05777,-1.00449902707,-1.40152695504,-2.06798898657,CAGL0A04081g,+
P80667,2.06995765435,-0.724329682271,-0.858393104171,CAGL0A04147g,-
Q06324,-0.831823387715,-0.921284852525,-0.984542123471,CAGL0A04169g,-
P34228,2.73428505291,-1.38290628689,0.757417190616,CAGL0A04455g,+
Q3E840,1.27944120533,1.76603464999,0.738960274,CAGL0A04499g,-
P38182,2.50813833143,-2.44996475297,-1.86379911109,CAGL0A04675g,-
P32496,-0.658173614051,-1.27058198289,-1.19700815177,CAGL0A04807g,+
Q2V2Q1,-0.943707719834,2.78507515353,0.586854997794,CAGL0B00374g,+
Q2V2Q2,-1.22446614052,1.99860401067,1.48998308315,CAGL0B00594g,+
P25569,1.38735071841,-1.95130048908,-0.990612876458,CAGL0B00748g,+
P25568,1.20493652357,-1.75036015982,-1.10015899704,CAGL0B00770g,-
P25369,0.632904283052,-2.03332704501,-0.882708656504,CAGL0B00814g,+
P00815,1.56949678276,1.83004197215,0.916596863579,CAGL0B00902g,-
Q96VH4,-0.66203278058,1.27111373001,-2.70318499297,CAGL0B00990g,-
Q06251,1.98308319881,-1.34139103206,-1.2483114371,CAGL0B01078g,+
P10659,-2.63091816379,5.1841525707,0.706677165741,CAGL0B01122g,+
Q06263,-2.63095141236,5.10302373459,0.70479484957,CAGL0B01144g,+
